,state,district,stunting_range,uw_range,wasting_range,District_Name
342,MAHARASHTRA,SINDHUDURG,0.5,0.5,0.5,SINDHUDURG
343,MAHARASHTRA,KOLHAPUR,0.5,0.5,1,KOLHAPUR
344,MAHARASHTRA,SANGLI,0,0.5,0.5,SANGLI
345,MANIPUR,SENAPATI,0.5,0,0,SENAPATI
346,MANIPUR,TAMENGLONG,0.5,0,0,TAMENGLONG
347,MANIPUR,CHURACHANDPUR,0.5,0,0,CHURACHANDPUR
348,MANIPUR,BISHNUPUR,0,0,0,BISHNUPUR
349,MANIPUR,THOUBAL,0.5,0,0,THOUBAL
350,MANIPUR,IMPHAL WEST,0,0,0,IMPHAL WEST
351,MANIPUR,IMPHAL EAST,0.5,0,0,IMPHAL EAST
352,MANIPUR,UKHRUL,0.5,0,0,UKHRUL
353,MANIPUR,CHANDEL,0.5,0,0,CHANDEL
354,MEGHALAYA,WEST GARO HILLS,0.5,0.5,0.5,WEST GARO HILLS
355,MEGHALAYA,EAST GARO HILLS,0.5,0,0,EAST GARO HILLS
356,MEGHALAYA,SOUTH GARO HILLS,0,0.5,1,SOUTH GARO HILLS
357,MEGHALAYA,WEST KHASI HILLS,1,0.5,0.5,WEST KHASI HILLS
358,MEGHALAYA,RIBHOI,1,0.5,0,RI BHOI
359,MEGHALAYA,EAST KHASI HILLS,1,0.5,0,EAST KHASI HILLS
360,MEGHALAYA,JAINTIA HILLS,1,0.5,0.5,EAST JAINTIA HILLS
361,MIZORAM,MAMIT,0.5,0,0,MAMIT
362,MIZORAM,KOLASIB,0.5,0,0,KOLASIB
363,MIZORAM,AIZWAL,0,0,0,AIZAWL
364,MIZORAM,CHAMPHAI,0.5,0,0,CHAMPHAI
365,MIZORAM,SERCHHIP,0.5,0,0,SERCHHIP
366,MIZORAM,LUNGLEI,0.5,0,0,LUNGLEI
367,MIZORAM,LAWNGTLAI,0.5,0.5,0,LAWNGTLAI
368,MIZORAM,SAIHA,0.5,0,0,SAIHA
369,NAGALAND,MON,0.5,0.5,0.5,MON
370,NAGALAND,MOKOKCHUNG,0,0,0,MOKOKCHUNG
371,NAGALAND,ZUNHEBOTO,0.5,0,0,ZUNHEBOTO
372,NAGALAND,WOKHA,0,0,0,WOKHA
373,NAGALAND,DIMAPUR,0,0,0,DIMAPUR
374,NAGALAND,PHEK,0.5,0,0,PHEK
375,NAGALAND,TUENSANG,0.5,0.5,0,TUENSANG
376,NAGALAND,LONGLENG,0.5,0,0.5,LONGLENG
377,NAGALAND,KIPHIRE,1,0.5,0,KIPHIRE
378,NAGALAND,KOHIMA,0,0,0,KOHIMA
379,NAGALAND,PEREN,0.5,0,0,PEREN
380,ODISHA,BARGARH,0.5,0.5,0.5,BARGARH
381,ODISHA,JHARSUGUDA,0.5,0.5,0.5,JHARSUGUDA
382,ODISHA,SAMBALPUR,1,1,1,SAMBALPUR
383,ODISHA,DEBAGARH,0.5,0.5,0.5,DEOGARH
384,ODISHA,SUNDARGARH,0.5,1,1,SUNDARGARH
385,ODISHA,KENDUJHAR,1,1,0.5,KENDUJHAR
386,ODISHA,MAYURBHANJ,1,1,0.5,MAYURBHANJ
387,ODISHA,BALESHWAR,0.5,0.5,0.5,BALESHWAR
388,ODISHA,BHADRAK,0.5,0.5,0.5,BHADRAK
389,ODISHA,KENDRAPARA,0.5,0.5,0,KENDRAPARA
390,ODISHA,JAGATSINGHAPUR,0,0,0,JAGATSINGHAPUR
391,ODISHA,CUTTACK,0,0,0,CUTTACK
392,ODISHA,JAJAPUR,0.5,0.5,0.5,JAJAPUR
393,ODISHA,DHENKANAL,0.5,0.5,0.5,DHENKANAL
394,ODISHA,ANUGUL,0.5,0.5,0.5,ANUGUL
395,ODISHA,NAYAGARH,0.5,0.5,0.5,NAYAGARH
396,ODISHA,KHORDHA,0,0.5,0,KHORDHA
397,ODISHA,PURI,0,0,0,PURI
398,ODISHA,GANJAM,0.5,0.5,0.5,GANJAM
